Code	Name	On Sea	Type	Can Wait
0	ACBTH	1	OTHER	1
1	ACGP	1	OTHER	1
2	ACH	1	OTHER	1
3	AEBA	1	OTHER	1
4	AEBB	1	OTHER	1
5	AEBC	1	OTHER	1
6	AEEL	1	OTHER	1
7	AEHA	1	OTHER	1
8	AEHB	1	OTHER	1
9	AEHC	1	OTHER	1
10	AELUV	1	OTHER	1
11	AEPA	1	OTHER	1
12	AEPB	1	OTHER	1
13	AESPA	1	OTHER	1
14	AESPB	1	OTHER	1
15	AESPC	1	OTHER	1
16	AEW	1	OTHER	1
17	ALGAS	1	OTHER	1
18	AMOW	1	OTHER	1
19	APPH	1	OTHER	1
20	APRAT	1	OTHER	1
21	APROH	1	OTHER	1
22	APRPU	1	OTHER	1
23	APRSI	1	OTHER	1
24	APRSS	1	OTHER	1
25	APRT1	1	OTHER	1
26	APRT2	1	OTHER	1
27	APRT3	1	OTHER	1
28	APRT4	1	OTHER	1
29	APRTS	1	OTHER	1
30	APRTU	1	OTHER	1
31	APSCP	1	OTHER	1
32	APSPG	1	OTHER	1
33	APSPR	1	OTHER	1
34	APSPT	1	OTHER	1
35	APSPU	1	OTHER	1
36	APSSG	1	OTHER	1
37	APSSS	1	OTHER	1
38	ARAFR	1	OTHER	1
39	ASC	1	OTHER	1
40	ASH	1	OTHER	1
41	ASPLU	1	OTHER	1
42	ASSPU	1	OTHER	1
43	ASUBA	1	OTHER	1
44	ASUBB	1	OTHER	1
45	ASUEX	1	OTHER	1
46	ATEL	1	OTHER	1
47	ATPH	1	OTHER	1
48	ATRAF	1	OTHER	1
49	AVLCC	1	OTHER	1
50	AWH	1	OTHER	1
51	AWJ	1	OTHER	1
52	AWPA	1	OTHER	1
53	AWPB	1	OTHER	1
54	AWQI	1	OTHER	1
55	AWW	1	OTHER	1
56	B01	0	CT	1
57	B02	0	CT	1
58	B03	0	CT	1
59	B04	0	CT	1
60	B05	0	CT	1
61	B06	0	CT	1
62	B07	0	CT	1
63	B08	0	CT	1
64	B09	0	CT	1
65	BBN1	0	OTHER	1
66	BBN10	0	OTHER	1
67	BBN11	0	OTHER	1
68	BBN12	0	OTHER	1
69	BBN13	0	OTHER	1
70	BBN14	0	OTHER	1
71	BBN2	0	OTHER	1
72	BBN3	0	OTHER	1
73	BBN4	0	OTHER	1
74	BBN5	0	OTHER	1
75	BBN7	0	OTHER	1
76	BBN8	0	OTHER	1
77	BBN9	0	OTHER	1
78	BGU10	0	OTHER	1
79	BGU2	0	OTHER	1
80	BGU3	0	OTHER	1
81	BGU4	0	OTHER	1
82	BGU5	0	OTHER	1
83	BGU6	0	OTHER	1
84	BGU7	0	OTHER	1
85	BGU8	0	OTHER	1
86	BK	0	OTHER	1
87	BKAL	0	OTHER	1
88	BMARC	0	OTHER	1
89	BNT	0	OTHER	1
90	BNT1	0	OTHER	1
91	BNT10	0	OTHER	1
92	BNT11	0	OTHER	1
93	BNT12	0	OTHER	1
94	BNT13	0	OTHER	1
95	BNT14	0	OTHER	1
96	BNT15	0	OTHER	1
97	BNT16	0	OTHER	1
98	BNT17	0	OTHER	1
99	BNT18	0	OTHER	1
100	BNT1A	0	OTHER	1
101	BNT1B	0	OTHER	1
102	BNT2	0	OTHER	1
103	BNT20	0	OTHER	1
